ParticipantID,Item,Response
P1000,I felt like I could control the virtual body as if it was my own body.,1
P1000,It felt as if my (real) body were turning into an 'avatar' body.,2
P1000,I felt as if my body was located where I saw the virtual body.,3
P1000,I felt as if my body had changed.,4
P1000,I felt as if the virtual body was my body.,5
P1000,I felt a realistic sensation in my body when I saw my body.,5
P1000,I felt as if the movements of the virtual body were influencing my own movements.,6
P1000,I felt as if my (real) body were drifting toward the virtual body or as if the virtual body were drifting toward my (real) body.,7
P1000,I felt that my own body could be affected by the virtual world.,7
P1000,At some point it felt that the virtual body resembled my own (real) body, in terms of shape, skin tone or other visual features.,5
P1000,I felt out of my body,2
P1000,I felt like I was wearing different clothes from when I came to the laboratory.,5
P1000,At some point it felt as if my real body was starting to take on the posture or shape of the virtual body that I saw.,4
